,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
1,2,64,-1,bridge-e1000,0,36,update,346.9485505141463,500.0,629.0,86065.0,,
2,2,64,-1,bridge-e1000,0,36,overall,,,,,61016.0,2824.3575455618197
0,2,64,-1,bridge-e1000,0,37,read,356.13308720529926,514.0,636.0,84238.0,,
1,2,64,-1,bridge-e1000,0,37,update,353.0462960784775,507.0,632.0,85018.0,,
2,2,64,-1,bridge-e1000,0,37,overall,,,,,61017.0,2773.915466181556
0,2,64,-1,bridge-e1000,0,38,read,353.2617075033786,512.0,628.0,85095.0,,
1,2,64,-1,bridge-e1000,0,38,update,351.3969642940928,505.0,627.0,85252.0,,
2,2,64,-1,bridge-e1000,0,38,overall,,,,,61020.0,2791.658472631924
0,2,64,-1,bridge-e1000,0,39,read,347.2211294269751,505.0,625.0,86628.0,,
1,2,64,-1,bridge-e1000,0,39,update,343.870475139138,499.0,623.0,86964.0,,
2,2,64,-1,bridge-e1000,0,39,overall,,,,,61019.0,2844.884380274996
0,2,64,-1,bridge-e1000,0,40,read,360.37477989003486,518.0,636.0,83481.0,,
1,2,64,-1,bridge-e1000,0,40,update,357.9502718852704,515.0,638.0,83675.0,,
2,2,64,-1,bridge-e1000,0,40,overall,,,,,61014.0,2739.63352673157
0,2,64,-1,bridge-e1000,0,41,read,353.700155323355,515.0,635.0,84984.0,,
1,2,64,-1,bridge-e1000,0,41,update,352.10399133699786,511.0,643.0,84959.0,,
2,2,64,-1,bridge-e1000,0,41,overall,,,,,61016.0,2785.22027009309
0,2,64,-1,bridge-e1000,0,42,read,356.1862600115939,510.0,639.0,84527.0,,
1,2,64,-1,bridge-e1000,0,42,update,354.5862465474116,507.0,641.0,84357.0,,
2,2,64,-1,bridge-e1000,0,42,overall,,,,,61017.0,2767.8188045954407
0,2,64,-1,bridge-e1000,0,43,read,360.8998572302672,529.0,651.0,83351.0,,
1,2,64,-1,bridge-e1000,0,43,update,358.88795790180285,522.0,652.0,83424.0,,
2,2,64,-1,bridge-e1000,0,43,overall,,,,,61015.0,2733.344259608293
0,2,64,-1,bridge-e1000,0,44,read,358.98522678494777,510.0,635.0,83868.0,,
1,2,64,-1,bridge-e1000,0,44,update,355.0388962765957,505.0,635.0,84224.0,,
2,2,64,-1,bridge-e1000,0,44,overall,,,,,61013.0,2755.019422090374
0,2,64,-1,bridge-e1000,0,45,read,345.7757038259255,500.0,606.0,87273.0,,
1,2,64,-1,bridge-e1000,0,45,update,342.6462891118202,494.0,607.0,87122.0,,
2,2,64,-1,bridge-e1000,0,45,overall,,,,,61014.0,2858.278427901793
0,2,64,-1,bridge-e1000,0,46,read,358.3893458210516,515.0,636.0,84136.0,,
1,2,64,-1,bridge-e1000,0,46,update,354.20964144182625,511.0,633.0,84282.0,,
2,2,64,-1,bridge-e1000,0,46,overall,,,,,61016.0,2760.226825750623
0,2,64,-1,bridge-e1000,0,47,read,361.44897446028955,523.0,637.0,83517.0,,
1,2,64,-1,bridge-e1000,0,47,update,357.0457068350917,514.0,630.0,83598.0,,
2,2,64,-1,bridge-e1000,0,47,overall,,,,,61013.0,2739.006441250225
0,2,64,-1,bridge-e1000,0,48,read,349.98633841725285,502.0,622.0,86154.0,,
1,2,64,-1,bridge-e1000,0,48,update,346.3120623289895,496.0,618.0,86252.0,,
2,2,64,-1,bridge-e1000,0,48,overall,,,,,61016.0,2825.5867313491544
0,2,64,-1,bridge-e1000,0,49,read,367.17745765394966,537.0,681.0,82121.0,,
1,2,64,-1,bridge-e1000,0,49,update,365.0145759392975,534.0,687.0,81710.0,,
2,2,64,-1,bridge-e1000,0,49,overall,,,,,61017.0,2685.005818050707
0,2,64,-1,bridge-e1000,0,50,read,352.67319733623583,511.0,632.0,85443.0,,
1,2,64,-1,bridge-e1000,0,50,update,349.9185298836978,505.0,635.0,85381.0,,
2,2,64,-1,bridge-e1000,0,50,overall,,,,,61017.0,2799.6132225445367
0,2,64,-1,bridge-e1000,0,51,read,346.5071247113164,491.0,610.0,86600.0,,
1,2,64,-1,bridge-e1000,0,51,update,345.16287068350704,489.0,620.0,86934.0,,
2,2,64,-1,bridge-e1000,0,51,overall,,,,,61013.0,2844.213528264468
0,2,64,-1,bridge-e1000,0,52,read,348.11074112614176,503.0,617.0,86490.0,,
1,2,64,-1,bridge-e1000,0,52,update,345.75565009306035,496.0,618.0,86503.0,,
2,2,64,-1,bridge-e1000,0,52,overall,,,,,61017.0,2835.1606929216446
0,2,64,-1,bridge-e1000,0,53,read,357.37763828023213,510.0,643.0,84430.0,,
1,2,64,-1,bridge-e1000,0,53,update,354.39488032309794,505.0,642.0,84185.0,,
2,2,64,-1,bridge-e1000,0,53,overall,,,,,61019.0,2763.3196217571576
0,2,64,-1,bridge-e1000,0,54,read,353.59785535342183,504.0,622.0,85422.0,,
1,2,64,-1,bridge-e1000,0,54,update,349.4486710729855,497.0,619.0,85332.0,,
2,2,64,-1,bridge-e1000,0,54,overall,,,,,61019.0,2798.374276864583
0,2,64,-1,bridge-e1000,0,55,read,361.72312594331714,524.0,649.0,83482.0,,
1,2,64,-1,bridge-e1000,0,55,update,358.00893586355994,520.0,645.0,83260.0,,
2,2,64,-1,bridge-e1000,0,55,overall,,,,,61021.0,2732.5347011684503
0,2,64,-1,bridge-e1000,0,56,read,356.813997388104,508.0,624.0,84230.0,,
1,2,64,-1,bridge-e1000,0,56,update,354.7634109700848,503.0,622.0,84539.0,,
2,2,64,-1,bridge-e1000,0,56,overall,,,,,61016.0,2765.979415235348
0,2,64,-1,bridge-e1000,0,57,read,360.3571411477528,516.0,645.0,83572.0,,
1,2,64,-1,bridge-e1000,0,57,update,357.2563266183956,510.0,647.0,83694.0,,
2,2,64,-1,bridge-e1000,0,57,overall,,,,,61013.0,2741.4813236523364
0,2,64,-1,bridge-e1000,0,58,read,351.2094404175123,499.0,611.0,86225.0,,
1,2,64,-1,bridge-e1000,0,58,update,347.50021001050055,495.0,607.0,85710.0,,
2,2,64,-1,bridge-e1000,0,58,overall,,,,,61015.0,2817.9136277964435
0,2,64,-1,bridge-e1000,0,59,read,364.193914276366,522.0,644.0,82521.0,,
1,2,64,-1,bridge-e1000,0,59,update,360.64672018844794,516.0,640.0,83206.0,,
2,2,64,-1,bridge-e1000,0,59,overall,,,,,61017.0,2716.0791254896176
0,2,64,-1,bridge-e1000,0,60,read,353.19186134841704,506.0,626.0,85567.0,,
1,2,64,-1,bridge-e1000,0,60,update,350.68336899527384,502.0,621.0,85058.0,,
2,2,64,-1,bridge-e1000,0,60,overall,,,,,61017.0,2796.3518363734697
0,2,64,-1,bridge-e1000,0,61,read,351.0867637303167,501.0,617.0,85923.0,,
1,2,64,-1,bridge-e1000,0,61,update,348.77846699158175,495.0,617.0,85766.0,,
2,2,64,-1,bridge-e1000,0,61,overall,,,,,61013.0,2813.9740710996016
0,2,64,-1,bridge-e1000,0,62,read,352.6748164257986,505.0,635.0,85524.0,,
1,2,64,-1,bridge-e1000,0,62,update,348.77993648421443,499.0,627.0,85648.0,,
2,2,64,-1,bridge-e1000,0,62,overall,,,,,61015.0,2805.408506105056
0,2,64,-1,bridge-e1000,0,63,read,352.8087884318405,495.0,612.0,85476.0,,
1,2,64,-1,bridge-e1000,0,63,update,350.9170894400601,493.0,620.0,85152.0,,
2,2,64,-1,bridge-e1000,0,63,overall,,,,,61013.0,2796.584334486093
0,2,64,-1,bridge-e1000,0,64,read,353.3188369985998,503.0,621.0,84987.0,,
1,2,64,-1,bridge-e1000,0,64,update,352.00567116610426,499.0,630.0,85344.0,,
2,2,64,-1,bridge-e1000,0,64,overall,,,,,61018.0,2791.4877577108396
