43007,3
43008,4
43009,6
43011,2
43013,5
43016,1
43018,1
43019,4
43021,3
43025,1
43026,3
43027,3
43029,3
43030,2
43031,1
43032,1
43034,5
43035,3
43037,4
43038,3
43040,7
43042,2
43043,5
43044,4
43045,5
43047,3
43048,3
43051,1
43055,3
43056,4
43058,4
43059,3
43060,2
43061,2
43062,2
43063,2
43066,3
43067,1
43068,2
43070,1
43071,2
43072,6
43073,2
43078,3
43079,4
43080,2
43081,3
43082,1
43083,3
43084,2
43085,3
43087,3
43088,2
43090,3
43091,3
43092,3
43093,2
43094,4
43095,3
43097,3
43100,3
43101,3
43103,2
43104,1
43105,4
43109,1
43110,3
43111,2
43114,5
43115,3
43116,1
43118,2
43119,4
43120,3
43121,2
43123,1
43124,4
43125,5
43126,2
43127,2
43131,5
43133,3
43134,4
43135,2
43136,4
43139,3
43140,7
43141,1
43142,4
43143,2
43144,3
43145,4
43147,3
43148,6
43149,2
43150,4
43151,4
43153,3
43154,5
43155,5
43156,4
43157,5
43158,1
43159,3
43161,4
43162,3
43164,1
43166,1
43167,3
43168,8
43170,3
43172,3
43175,2
43178,1
43179,2
43181,2
43182,1
43183,3
43186,1
43187,2
43188,5
43189,4
43190,3
43191,4
43192,5
43194,5
43195,3
43196,7
43197,4
43198,4
43201,2
43202,6
43203,4
43204,3
43206,6
43207,5
43211,2
43212,1
43216,2
43218,3
43220,3
43221,4
43222,3
43224,7
43225,8
43226,2
43227,1
43228,6
43229,3
43230,3
43231,2
43232,4
43233,4
43234,3
43235,5
43237,4
43238,2
43239,2
43240,5
43241,3
43242,6
43243,5
43244,2
43246,6
43248,7
43249,5
43251,5
43252,4
43253,4
43254,6
43255,7
43257,8
43259,3
43262,3
43263,4
43266,5
43269,4
43270,3
43271,2
43272,5
43275,5
43276,8
43277,8
43278,1
43279,3
43281,7
43282,3
43283,3
43284,5
43285,3
43286,3
43288,7
43289,5
43290,7
43291,9
43295,3
43297,6
43298,4
43299,5
43300,2
43302,6
43303,1
43305,5
43306,7
43307,8
43308,6
43309,3
43311,3
43312,2
43314,3
43316,2
43317,2
43318,1
43319,1
43320,3
43321,4
43322,7
43324,4
43327,3
43328,4
43329,2
43330,3
43331,5
43332,1
43334,4
43335,3
43336,2
43337,4
43338,3
43340,9
43341,5
43342,1
43343,1
43344,5
43345,3
43346,5
43347,5
43348,4
43349,5
43350,4
43352,5
43353,4
43354,5
43355,4
43357,2
43359,2
43360,4
43361,1
43362,1
43363,5
43364,1
43366,8
43367,5
43368,4
43369,2
43370,1
43371,3
43374,5
43375,6
43376,4
43377,5
43378,8
43380,2
43381,6
43382,3
43383,3
43384,6
43385,8
43386,2
43387,5
43388,4
43389,6
43390,8
43392,8
43393,2
43394,4
43395,3
43396,5
43397,4
43398,9
43399,5
43400,4
43401,6
43402,9
43403,3
43404,9
43405,5
43406,4
43407,7
43408,3
43409,8
43410,3
43413,6
43414,3
43415,3
43416,3
43417,2
43418,3
43419,8
43420,8
43423,3
43424,4
43425,6
43426,3
43428,4
43429,5
43430,6
43432,6
43433,4
43434,5
43435,6
43437,5
43438,4
43439,4
43440,5
43441,2
43443,4
43445,5
43447,2
43448,3
43450,4
43451,2
43452,5
43453,2
43454,4
43455,6
43456,9
43457,4
43458,8
43459,4
43460,6
43461,6
43462,4
43463,5
43465,4
43466,4
43467,2
43468,3
43469,6
43470,5
43472,4
43473,4
43474,2
43477,7
43478,5
43480,3
43482,3
43483,7
43484,7
43485,7
43486,5
43487,4
43488,9
43489,5
43491,3
43494,6
43495,4
43497,3
43499,6
43500,3
43502,6
43504,3
43505,3
43506,4
43507,4
